2023-10-26 16:34:51.636 [info] Log level: Info
2023-10-26 16:34:51.636 [info] Validating found git in: "git"
2023-10-26 16:34:52.741 [info] Using git "2.34.1" from "git"
2023-10-26 16:34:53.222 [info] > git rev-parse --show-toplevel [209ms]
2023-10-26 16:34:53.236 [info] > git rev-parse --show-toplevel [4ms]
2023-10-26 16:34:53.247 [info] > git rev-parse --show-toplevel [3ms]
2023-10-26 16:34:53.256 [info] > git rev-parse --show-toplevel [1ms]
2023-10-26 16:34:53.262 [info] > git rev-parse --show-toplevel [1ms]
2023-10-26 16:34:53.267 [info] > git rev-parse --show-toplevel [1ms]
2023-10-26 16:34:53.274 [info] > git rev-parse --show-toplevel [1ms]
2023-10-26 16:34:53.282 [info] > git rev-parse --show-toplevel [4ms]
2023-10-26 16:34:53.287 [info] > git rev-parse --show-toplevel [1ms]
2023-10-26 16:34:53.292 [info] > git rev-parse --show-toplevel [0ms]
2023-10-26 16:34:53.296 [info] > git rev-parse --show-toplevel [1ms]
2023-10-26 16:34:53.301 [info] > git rev-parse --show-toplevel [1ms]
2023-10-26 16:34:53.305 [info] > git rev-parse --show-toplevel [1ms]
2023-10-26 16:35:40.215 [info] > git rev-parse --show-toplevel [2ms]
2023-10-26 16:35:40.390 [info] > git rev-parse --show-toplevel [4ms]
2023-10-26 16:35:40.402 [info] > git rev-parse --show-toplevel [3ms]
2023-10-26 16:36:21.972 [info] > git rev-parse --show-toplevel [3ms]
2023-10-26 16:36:21.992 [info] > git rev-parse --show-toplevel [3ms]
2023-10-26 16:36:22.005 [info] > git rev-parse --show-toplevel [1ms]
2023-10-26 16:36:22.392 [info] > git rev-parse --show-toplevel [2ms]
2023-10-26 16:36:22.444 [info] > git rev-parse --show-toplevel [2ms]
2023-10-26 16:36:22.453 [info] > git rev-parse --show-toplevel [2ms]
2023-10-26 16:36:23.331 [info] > git rev-parse --show-toplevel [4ms]
2023-10-26 16:36:26.657 [info] > git rev-parse --show-toplevel [1ms]
2023-10-26 16:36:46.370 [info] > git rev-parse --show-toplevel [2ms]
2023-10-26 16:36:51.356 [info] > git rev-parse --show-toplevel [4ms]
2023-10-26 16:38:34.533 [info] > git rev-parse --show-toplevel [2ms]
2023-10-26 16:38:35.999 [info] > git rev-parse --show-toplevel [7ms]
2023-10-26 16:40:49.776 [info] > git rev-parse --show-toplevel [8ms]
2023-10-26 16:42:34.345 [info] > git rev-parse --show-toplevel [3ms]
2023-10-26 16:42:42.012 [info] > git rev-parse --show-toplevel [4ms]
2023-10-26 16:43:27.040 [info] > git rev-parse --show-toplevel [4ms]
2023-10-26 16:44:08.194 [info] > git rev-parse --show-toplevel [4ms]
2023-10-26 16:44:31.243 [info] > git rev-parse --show-toplevel [4ms]
2023-10-26 16:44:49.658 [info] > git rev-parse --show-toplevel [4ms]
2023-10-26 16:45:06.078 [info] > git rev-parse --show-toplevel [3ms]
2023-10-26 16:45:35.399 [info] > git rev-parse --show-toplevel [14ms]
2023-10-26 16:45:41.389 [info] > git rev-parse --show-toplevel [20ms]
2023-10-26 16:45:51.965 [info] > git rev-parse --show-toplevel [5ms]
2023-10-26 16:47:13.362 [info] > git rev-parse --show-toplevel [2ms]
2023-10-26 16:47:20.626 [info] > git rev-parse --show-toplevel [4ms]
2023-10-26 16:47:21.516 [info] > git rev-parse --show-toplevel [13ms]
2023-10-26 16:47:42.344 [info] > git rev-parse --show-toplevel [6ms]
2023-10-26 16:48:10.666 [info] > git rev-parse --show-toplevel [5ms]
2023-10-26 16:48:45.713 [info] > git rev-parse --show-toplevel [4ms]
2023-10-26 16:49:12.804 [info] > git rev-parse --show-toplevel [5ms]
2023-10-26 16:49:33.620 [info] > git rev-parse --show-toplevel [6ms]
2023-10-26 16:50:00.709 [info] > git rev-parse --show-toplevel [7ms]
2023-10-26 16:50:04.196 [info] > git rev-parse --show-toplevel [11ms]
2023-10-26 16:50:05.129 [info] > git rev-parse --show-toplevel [6ms]
2023-10-26 16:50:19.901 [info] > git rev-parse --show-toplevel [18ms]
2023-10-26 16:50:20.800 [info] > git rev-parse --show-toplevel [13ms]
2023-10-26 16:50:22.653 [info] > git rev-parse --show-toplevel [3ms]
2023-10-26 16:50:30.481 [info] > git rev-parse --show-toplevel [8ms]
2023-10-26 16:50:36.242 [info] > git rev-parse --show-toplevel [12ms]
2023-10-26 16:51:02.795 [info] > git rev-parse --show-toplevel [23ms]
2023-10-26 16:51:15.981 [info] > git rev-parse --show-toplevel [3ms]
2023-10-26 16:52:24.286 [info] > git rev-parse --show-toplevel [5ms]
2023-10-26 16:54:56.081 [info] > git rev-parse --show-toplevel [13ms]
2023-10-26 16:54:57.102 [info] > git rev-parse --show-toplevel [13ms]
2023-10-26 16:54:58.574 [info] > git rev-parse --show-toplevel [12ms]
2023-10-26 16:55:07.295 [info] > git rev-parse --show-toplevel [7ms]
2023-10-26 16:55:08.273 [info] > git rev-parse --show-toplevel [9ms]
2023-10-26 16:55:29.815 [info] > git rev-parse --show-toplevel [5ms]
2023-10-26 16:55:30.990 [info] > git rev-parse --show-toplevel [2ms]
2023-10-26 16:58:57.934 [info] > git rev-parse --show-toplevel [3ms]
2023-10-26 16:59:36.452 [info] > git rev-parse --show-toplevel [2ms]
2023-10-26 16:59:42.877 [info] > git rev-parse --show-toplevel [10ms]
2023-10-26 17:00:41.809 [info] > git rev-parse --show-toplevel [5ms]
2023-10-26 17:01:11.832 [info] > git rev-parse --show-toplevel [5ms]
2023-10-26 17:01:20.688 [info] > git rev-parse --show-toplevel [5ms]
2023-10-26 17:01:21.547 [info] > git rev-parse --show-toplevel [4ms]
2023-10-26 17:01:27.693 [info] > git rev-parse --show-toplevel [10ms]
2023-10-26 17:01:29.328 [info] > git rev-parse --show-toplevel [5ms]
2023-10-26 17:01:36.379 [info] > git rev-parse --show-toplevel [11ms]
2023-10-26 17:01:39.301 [info] > git rev-parse --show-toplevel [5ms]
2023-10-26 17:01:51.862 [info] > git rev-parse --show-toplevel [4ms]
2023-10-26 17:02:29.224 [info] > git rev-parse --show-toplevel [6ms]
2023-10-26 17:03:57.034 [info] > git rev-parse --show-toplevel [2ms]
2023-10-26 17:03:58.288 [info] > git rev-parse --show-toplevel [8ms]
2023-10-26 17:04:23.333 [info] > git rev-parse --show-toplevel [5ms]
2023-10-26 17:04:38.696 [info] > git rev-parse --show-toplevel [5ms]
2023-10-26 17:04:40.013 [info] > git rev-parse --show-toplevel [5ms]
2023-10-26 17:04:43.390 [info] > git rev-parse --show-toplevel [6ms]
2023-10-26 17:04:57.389 [info] > git rev-parse --show-toplevel [6ms]
2023-10-26 17:05:05.043 [info] > git rev-parse --show-toplevel [8ms]
2023-10-26 17:05:29.692 [info] > git rev-parse --show-toplevel [7ms]
2023-10-26 17:06:33.959 [info] > git rev-parse --show-toplevel [2ms]
2023-10-26 17:06:34.995 [info] > git rev-parse --show-toplevel [2ms]
2023-10-26 17:06:38.667 [info] > git rev-parse --show-toplevel [5ms]
2023-10-26 17:06:48.003 [info] > git rev-parse --show-toplevel [4ms]
2023-10-26 17:06:48.824 [info] > git rev-parse --show-toplevel [5ms]
2023-10-26 17:06:52.997 [info] > git rev-parse --show-toplevel [4ms]
2023-10-26 17:06:55.330 [info] > git rev-parse --show-toplevel [10ms]
